bedrooms,bathrooms,squareFootage,yearBuilt,lotSize,propertyType,price,addressLine1,addressLine2,city,state,zipCode,status,daysOnMarket,latitude,longitude
5,4,7680,2010,435687,Single Family,2200000,18185 Narrow Path Trl,,Doswell,VA,23047,Active,56,37.906134,-77.535539
4,2.5,2713,2022,125409,Single Family,628900,Horseshoe Bridge Rd,,Doswell,VA,23047,Active,37,37.817704,-77.548959
3,2,1760,1952,40598,Single Family,309900,16180 Short Cut Rd,,Doswell,VA,23047,Active,16,37.847004,-77.463101
4,3.5,3002,2004,226643,Single Family,550000,13540 Chase Ln,,Doswell,VA,23047,Inactive,32,37.812827,-77.558895
4,3.5,4274,2006,479160,Single Family,1035000,16085 Rocketts Mill Rd,,Doswell,VA,23047,Inactive,25,37.842011,-77.54287
3,3,3255,1999,43560,Single Family,479900,16314 Rocketts Mill Rd,,Doswell,VA,23047,Inactive,60,37.851639,-77.531905
4,4,2464,1973,79279,Single Family,125000,15073 Blunts Bridge Rd,,Doswell,VA,23047,Inactive,30,37.814957,-77.517556
3,1,1056,1960,112820,Single Family,259000,11095 Richards Rd,,Doswell,VA,23047,Inactive,12,37.866079,-77.476334
4,2.5,2777,2022,560312,Single Family,739900,Hanover Junction Ln,,Doswell,VA,23047,Inactive,133,37.857818,-77.499926
3,2,1414,1955,36155,Single Family,249950,11000 Verdon Rd,,Doswell,VA,23047,Inactive,9,37.866103,-77.471044
4,2.5,2043,2002,122839,Single Family,395000,16480 Bullfield Rd,,Doswell,VA,23047,Inactive,9,37.861153,-77.449934
3,2,1568,1754,46783,Single Family,165000,14040 W Patrick Henry Rd,,Doswell,VA,23047,Inactive,66,37.81538,-77.577148
4,3.5,3350,,,Single Family,848500,15187 Whitetail Hollow Ct,,Doswell,VA,23047,Inactive,568,37.824212,-77.496253
4,2,1559,,,Single Family,260000,31251 Sadie Ln,,Doswell,VA,23047,Inactive,27,37.834563,-77.386789
4,2.5,2184,,,Single Family,485000,15189 Fawn Hollow Trl,,Doswell,VA,23047,Inactive,63,37.823478,-77.492166
2,1,850,,,Single Family,90000,10343 Pleasants Cir,,Doswell,VA,23047,Inactive,86,37.848953,-77.459716
5,3.5,4066,,,Single Family,788900,11483 Mount Hope Church Rd,,Doswell,VA,23047,Inactive,171,37.864827,-77.494752
4,3.5,4700,,,Single Family,769900,15259 Horseshoe Bridge Rd,,Doswell,VA,23047,Inactive,368,37.822603,-77.554149
4,2.5,2800,,,Single Family,400000,12466 Noel Rd,,Doswell,VA,23047,Inactive,147,37.908145,-77.538175
3,1,960,,,Single Family,324950,11023 Doswell Rd,,Doswell,VA,23047,Inactive,173,37.859285,-77.472669
4,3,2296,,,Single Family,514990,15181 Fawn Hollow Trl,,Doswell,VA,23047,Inactive,672,37.82257,-77.492692
3,2.5,2473,,,Single Family,715000,15105 Cypress Creek Ln,,Doswell,VA,23047,Inactive,169,37.814673,-77.560692
4,2,1986,,,Single Family,265000,17039 N Telegraph Rd,,Doswell,VA,23047,Inactive,359,37.866766,-77.465751
4,2.5,2048,,,Single Family,299000,15346 Beechmont Dr,,Doswell,VA,23047,Inactive,235,37.82713,-77.549341
3,2,1400,,,Single Family,339950,11004 Mount Hope Church Rd,,Doswell,VA,23047,Inactive,207,37.849867,-77.471888
3,2,1380,,,Single Family,269900,12480 Old Ridge Rd,,Doswell,VA,23047,Inactive,252,37.850752,-77.527571
6,,5325,,,Single Family,750000,15155 Taliaferro Ln,,Doswell,VA,23047,Inactive,356,37.818914,-77.580381
4,3.5,2582,,,Single Family,429000,15206 Horseshoe Bridge Rd,,Doswell,VA,23047,Inactive,344,37.820541,-77.551131
3,2,3000,,,Single Family,529000,14430 King Rd,,Doswell,VA,23047,Inactive,479,37.804861,-77.588851
5,4,4332,,,Single Family,450000,17359 Level Dr,,Doswell,VA,23047,Inactive,302,37.882747,-77.531581
5,,2953,,,Single Family,545000,16080 Academy Farm Ln,,Doswell,VA,23047,Inactive,312,37.83687,-77.528488
2,1,1160,,,Single Family,350000,13671 Meadow Farm Rd,,Doswell,VA,23047,Inactive,336,37.835827,-77.414915
4,2.5,2642,,,Single Family,425000,14414 King Rd,,Doswell,VA,23047,Inactive,328,37.803994,-77.589371
4,2.5,2130,,,Single Family,399000,11416 Doswell Rd,,Doswell,VA,23047,Inactive,342,37.854643,-77.498914
2,2,1709,,,Single Family,450000,29333 Westward Ln,,Doswell,VA,23047,Inactive,380,37.858293,-77.371444
4,2,2688,,,Single Family,350000,13510 Meadow Farm Rd,,Doswell,VA,23047,Inactive,375,37.839129,-77.419888
3,2,2293,,,Single Family,430000,15076 Kimbrough Ln,,Doswell,VA,23047,Inactive,409,37.811898,-77.554441
2,1,1196,,,Single Family,239950,11016 Mount Hope Church Rd,,Doswell,VA,23047,Inactive,452,37.849562,-77.470849
4,3,2159,,,Single Family,474950,15173 Rehoboth Rd,,Doswell,VA,23047,Inactive,452,37.818967,-77.547625
4,2.5,3256,,,Single Family,450000,15038 Blunts Bridge Rd,,Doswell,VA,23047,Inactive,417,37.811122,-77.507446
3,2,2224,,,Single Family,425000,14391 King Rd,,Doswell,VA,23047,Inactive,452,37.804168,-77.591424
2,1,1350,,,Single Family,99900,16050 Eastwood Ln,,Doswell,VA,23047,Inactive,692,37.841789,-77.505539
3,2,1130,,,Single Family,269000,11167 Verdon Rd,,Doswell,VA,23047,Inactive,453,37.867017,-77.482491
3,1,1264,,,Single Family,129500,16314 Dawn Blvd,,Doswell,VA,23047,Inactive,489,37.832648,-77.365081
3,2,1963,,,Single Family,350000,17510 Level Dr,,Doswell,VA,23047,Inactive,486,37.885553,-77.531505
4,2.5,3500,,,Single Family,450000,15010 Kimbrough Ln,,Doswell,VA,23047,Inactive,529,37.811597,-77.555679
